customer_state,total_customers,total_revenue,avg_spend,avg_review,churn_rate
AC,76,19586.25,244.83,4.09,90.0
AL,387,94195.79,237.27,3.86,95.0
AM,140,27596.18,190.32,4.24,94.5
AP,66,16141.81,240.92,4.24,97.0
BA,3158,591270.6,181.59,3.93,94.2
CE,1258,266463.97,208.34,3.94,96.7
DF,2019,346146.17,166.42,4.13,94.1
ES,1928,317682.65,159.24,4.08,93.8
GO,1895,334294.22,170.82,4.1,93.8
MA,700,147807.29,206.15,3.83,95.5
MG,11001,1819277.61,160.23,4.19,94.0
MS,681,134421.54,191.76,4.16,94.6
MT,856,181441.72,204.79,4.15,93.2
PA,922,212027.55,224.13,3.91,95.1
PB,504,137834.65,266.6,4.08,95.2
PE,1551,309074.59,194.02,4.08,94.9
PI,464,105272.17,221.16,3.99,95.4
PR,4769,781919.55,158.83,4.24,94.0
RJ,11917,2055690.45,166.45,3.96,93.3
RN,464,100728.3,212.51,4.15,95.8
RO,231,56975.7,234.47,4.17,90.9
RR,40,9039.52,220.48,3.9,95.1
RS,5168,861802.4,161.24,4.19,93.7
SC,3449,595208.4,167.85,4.13,94.5
SE,329,70289.13,209.82,3.91,95.5
SP,39156,5770266.19,142.48,4.25,93.6
TO,267,60007.37,219.0,4.15,94.9
